Mootmisaeg,Kunda,Ristna,Vaike-Maarja,Toravere,Sorve,Viljandi,Narva-Joesuu,Kuusiku,Laane-Nigula,Parnu,Mustvee,Voru,Tyri,Valga,Tallinn
01.01.2018,55,38,63,56,35,45,86,43,46,28,33,62,53,69,42
02.01.2018,56,40,64,58,36,46,88,46,49,30,35,65,56,72,44
03.01.2018,54,38,63,55,35,45,87,44,47,29,33,62,53,69,43
04.01.2018,55,38,64,57,35,45,89,44,47,29,35,64,54,70,43
05.01.2018,57,41,66,58,36,47,90,47,50,30,36,65,56,72,44
06.01.2018,56,38,65,57,36,47,90,47,49,32,35,64,56,70,43
07.01.2018,56,41,65,58,37,47,91,46,48,29,35,64,55,72,46
08.01.2018,55,36,63,56,34,45,88,43,46,28,33,62,53,69,42
09.01.2018,54,36,,55,34,44,84,42,45,27,33,61,52,66,41
10.01.2018,54,37,,55,34,44,83,42,46,28,33,61,52,67,42
11.01.2018,54,36,61,55,34,44,83,42,46,27,33,61,52,67,42
12.01.2018,54,37,61,55,34,44,84,43,46,28,33,61,52,68,42
13.01.2018,54,36,60,55,34,44,83,42,46,27,33,61,52,67,41
14.01.2018,56,36,61,55,34,44,83,42,46,28,33,61,52,66,42
15.01.2018,55,36,60,54,35,43,83,42,45,27,33,61,52,66,42
16.01.2018,54,37,60,54,35,44,83,42,46,28,33,62,52,67,42
17.01.2018,55,37,60,55,35,44,83,42,46,28,33,62,52,67,42
18.01.2018,57,39,62,,37,46,86,45,48,31,36,65,55,70,44
19.01.2018,57,38,62,,36,46,85,45,49,31,36,64,54,68,44
20.01.2018,55,37,59,,34,43,83,42,46,28,32,60,51,64,42
21.01.2018,56,37,60,,34,43,84,42,46,28,33,61,52,64,43
22.01.2018,56,37,59,,34,43,84,41,46,27,32,62,51,65,42
23.01.2018,55,36,58,,34,42,81,41,45,27,32,59,50,64,43
24.01.2018,51,36,58,,33,41,79,40,45,26,31,58,49,62,40
25.01.2018,51,37,57,,35,42,77,41,46,30,31,58,49,63,41
26.01.2018,52,38,59,,34,44,77,44,47,31,31,58,51,63,43
27.01.2018,53,36,59,52,34,43,84,42,45,28,32,62,50,66,41
28.01.2018,54,37,61,53,34,44,89,43,45,28,33,63,51,66,42
29.01.2018,54,38,61,52,36,44,89,43,46,28,33,63,51,66,42
30.01.2018,54,37,60,52,35,43,91,42,45,29,33,63,50,65,42
31.01.2018,57,39,62,56,35,46,90,45,49,30,36,65,53,66,46
01.02.2018,54,36,60,51,34,42,88,42,44,26,33,60,50,61,41
02.02.2018,54,38,58,51,39,42,88,41,43,28,33,61,49,61,41
03.02.2018,51,34,54,48,34,38,84,38,39,24,30,58,45,58,40
04.02.2018,52,35,55,48,34,38,83,38,40,24,30,58,45,57,41
05.02.2018,51,35,55,48,34,39,83,38,39,24,30,58,44,58,40
06.02.2018,51,34,54,48,34,38,83,38,39,24,30,58,44,57,40
07.02.2018,53,36,54,48,35,39,-,39,40,26,31,59,45,58,40
08.02.2018,49,36,51,46,33,37,79,37,38,24,29,56,43,56,40
09.02.2018,48,33,50,45,33,36,77,36,38,23,28,55,42,55,37
10.02.2018,49,33,51,45,33,36,78,37,38,23,28,55,42,55,38
11.02.2018,49,33,51,46,32,36,78,37,38,23,29,56,43,56,38
12.02.2018,52,33,53,47,32,38,81,38,39,24,31,58,44,58,39
13.02.2018,49,34,51,45,33,36,78,37,39,24,29,56,42,56,38
14.02.2018,49,32,51,46,32,36,77,36,37,24,29,56,42,56,38
15.02.2018,50,32,51,46,32,37,77,36,37,24,29,56,43,56,38
16.02.2018,51,33,53,47,33,38,78,37,38,25,31,58,43,57,39
17.02.2018,51,34,52,46,33,37,77,38,39,25,30,57,44,56,39
18.02.2018,51,34,52,47,34,38,77,38,39,26,30,58,44,57,40
19.02.2018,49,33,50,44,32,36,75,37,38,23,29,55,42,55,39
20.02.2018,49,33,50,44,32,36,74,37,38,24,29,54,42,54,39
21.02.2018,,32,,43,,35,,,,,27,53,,53,
22.02.2018,49,,49,,30,,,36,37,23,,,41,,38
23.02.2018,48,31,49,,31,35,73,36,36,23,27,53,41,53,38
24.02.2018,48,30,49,44,31,35,73,36,36,23,27,52,41,52,38
25.02.2018,47,30,48,44,31,34,72,36,36,23,27,52,40,52,37
26.02.2018,47,30,47,44,31,34,71,35,35,22,26,51,40,51,37
27.02.2018,47,29,47,43,31,33,70,34,35,22,27,51,39,51,36
28.02.2018,47,29,46,42,31,34,71,34,35,22,26,52,39,51,36
01.03.2018,47,29,47,43,31,33,71,34,35,21,26,51,39,51,36
02.03.2018,48,29,47,42,31,34,72,35,36,22,27,52,40,52,37
03.03.2018,48,30,48,43,32,35,72,36,36,23,27,54,40,54,38
04.03.2018,48,30,47,44,32,35,72,36,36,23,27,53,40,53,38
05.03.2018,49,29,47,44,32,34,71,35,36,23,27,52,40,53,37
06.03.2018,47,30,46,43,32,34,70,35,36,21,26,52,39,52,37
07.03.2018,48,30,47,43,32,34,71,35,36,21,27,52,40,53,37
08.03.2018,49,31,47,43,34,35,71,36,37,23,27,53,41,54,38
09.03.2018,48,29,47,44,30,34,70,35,36,22,27,52,40,53,38
10.03.2018,48,28,46,43,30,34,69,35,35,22,26,51,39,50,38
11.03.2018,48,28,46,43,30,33,70,34,34,22,26,51,38,50,38
12.03.2018,48,29,47,42,33,35,70,36,36,24,27,52,40,51,39
13.03.2018,54,37,54,43,36,39,75,41,45,34,32,58,47,56,45
14.03.2018,55,29,50,50,33,39,81,39,42,29,29,66,43,65,43
15.03.2018,50,29,48,55,32,37,78,38,40,25,26,63,40,62,39
16.03.2018,50,29,48,51,32,37,78,38,40,25,26,63,40,62,39
17.03.2018,51,29,48,51,32,37,79,38,40,25,26,63,40,62,40
18.03.2018,51,30,48,51,33,37,80,39,41,26,26,64,41,63,40
19.03.2018,52,31,49,51,33,38,81,40,43,27,27,64,42,64,41
20.03.2018,51,29,48,53,32,36,79,39,41,26,27,63,40,63,39
21.03.2018,50,29,47,51,32,35,78,38,40,25,25,63,39,61,39
22.03.2018,51,29,48,50,32,35,78,39,41,26,26,63,40,61,39
23.03.2018,50,30,47,50,33,35,75,39,42,26,26,63,39,61,40
24.03.2018,50,30,47,49,33,35,75,39,42,26,26,63,39,62,40
25.03.2018,51,32,47,50,34,36,76,40,43,26,26,64,40,63,40
26.03.2018,51,33,47,51,34,36,76,41,43,26,27,64,40,63,40
27.03.2018,50,33,47,51,34,36,75,40,43,26,27,63,40,63,40
28.03.2018,50,33,47,51,34,36,75,41,44,26,26,64,40,64,40
29.03.2018,51,34,47,51,34,36,76,41,44,26,26,64,40,64,40
30.03.2018,51,34,47,52,34,37,76,41,44,27,27,64,41,65,41
31.03.2018,51,35,48,52,34,37,77,42,45,27,27,63,41,63,41
01.04.2018,52,35,49,52,37,40,79,43,46,29,29,65,43,65,41
02.04.2018,56,35,53,54,34,42,82,44,45,30,32,66,46,67,42
03.04.2018,48,30,44,56,30,35,78,37,38,24,26,63,38,64,38
04.04.2018,50,31,46,51,32,37,85,38,40,25,28,64,40,66,39
05.04.2018,52,35,53,53,35,41,92,42,45,28,30,65,45,69,42
06.04.2018,53,36,59,54,36,44,91,44,47,29,31,65,49,69,42
07.04.2018,53,36,60,55,34,43,89,42,45,27,32,64,49,68,41
08.04.2018,54,37,61,54,35,44,89,43,46,28,33,64,50,68,42
09.04.2018,55,38,63,55,36,46,89,44,47,29,34,65,51,70,42
10.04.2018,55,37,62,56,35,45,88,43,46,28,34,64,51,70,42
11.04.2018,55,37,62,56,35,45,88,43,46,28,33,64,51,69,42
12.04.2018,57,37,63,56,35,45,90,44,47,28,34,64,52,69,42
13.04.2018,57,38,64,56,35,45,90,44,47,28,34,65,53,70,42
14.04.2018,56,38,64,57,36,46,90,44,47,28,34,65,53,70,42
15.04.2018,57,39,65,57,36,47,91,45,48,30,35,66,54,72,43
16.04.2018,59,40,66,58,37,47,91,48,49,29,35,66,55,72,44
17.04.2018,57,38,66,58,36,49,94,45,47,30,38,71,55,76,42
18.04.2018,56,38,64,62,36,46,89,45,47,29,34,64,54,70,42
19.04.2018,56,38,65,56,36,46,89,45,47,29,34,64,54,70,43
